File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size (MB)	md5sum	File Type	File Format	Bio Rep No	Tech Rep No	Biosource Type	Organism	Related File Relationship	Related File	Paired End	Set Status	File Status	Publication	Experiment Type	Replicate Info	Assay Details	Biosource	Dataset	Condition	In Experiment As	Project	Generating Lab	Experimental Lab	Contributing Lab	Notes	Open Data URL
https://data.4dnucleome.org/files-processed/4DNFIC5AHBPV/@@download/4DNFIC5AHBPV.pairs.gz	4DNES18BMU79	4DNEXH98PC96, 4DNEXVJSLZI5	4DNFIC5AHBPV	10151.53	78036d54155fb21c4f94a712824c187c	contact list-combined	pairs	2, 1	1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Monahan K et al. (2019)	in situ Hi-C	merged replicates	DpnII	olfactory receptor cell	Hi-C on Mouse Olfactory System cells	Mature olfactory sensory neurons with conditional Ldb1 knockout	processed file	4DN	4DN DCIC, HMS	Stavros Lomvardas, COLUMBIA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/49504f97-904e-48c1-8c20-1033680b66da/4DNFIC5AHBPV.pairs.gz
https://data.4dnucleome.org/files-processed/4DNFIC5AHBPV/@@download/4DNFIC5AHBPV.pairs.gz.px2	4DNES18BMU79	4DNEXH98PC96, 4DNEXVJSLZI5	4DNFIC5AHBPV	18.38	27f3428a862ef44bfc8c5253c6a0ed3a	contact list-combined	pairs_px2	2, 1	1, 1	primary cell	mouse	secondary file for	4DNFIC5AHBPV	N/A	released	released	Monahan K et al. (2019)	in situ Hi-C	merged replicates	DpnII	olfactory receptor cell	Hi-C on Mouse Olfactory System cells	Mature olfactory sensory neurons with conditional Ldb1 knockout	processed file	4DN	4DN DCIC, HMS	Stavros Lomvardas, COLUMBIA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/49504f97-904e-48c1-8c20-1033680b66da/4DNFIC5AHBPV.pairs.gz
https://data.4dnucleome.org/files-processed/4DNFIT4I5C6Z/@@download/4DNFIT4I5C6Z.hic	4DNES18BMU79	4DNEXH98PC96, 4DNEXVJSLZI5	4DNFIT4I5C6Z	5285.82	e481b07fdeea345562f286c508c75987	contact matrix	hic	2, 1	1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Monahan K et al. (2019)	in situ Hi-C	merged replicates	DpnII	olfactory receptor cell	Hi-C on Mouse Olfactory System cells	Mature olfactory sensory neurons with conditional Ldb1 knockout	processed file	4DN	4DN DCIC, HMS	Stavros Lomvardas, COLUMBIA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6cd4378a-8f51-4e65-99eb-15f5c80abf8d/4DNFIT4I5C6Z.hic
https://data.4dnucleome.org/files-processed/4DNFIVPAXJO8/@@download/4DNFIVPAXJO8.mcool	4DNES18BMU79	4DNEXH98PC96, 4DNEXVJSLZI5	4DNFIVPAXJO8	6110.75	fc42fd3a766a83fef2ecbbfb644bc710	contact matrix	mcool	2, 1	1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Monahan K et al. (2019)	in situ Hi-C	merged replicates	DpnII	olfactory receptor cell	Hi-C on Mouse Olfactory System cells	Mature olfactory sensory neurons with conditional Ldb1 knockout	processed file	4DN	4DN DCIC, HMS	Stavros Lomvardas, COLUMBIA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/01fb704f-2fd7-48c6-91af-c5f4584529ed/4DNFIVPAXJO8.mcool
https://data.4dnucleome.org/files-processed/4DNFIR3XCIMA/@@download/4DNFIR3XCIMA.bed.gz	4DNES18BMU79	4DNEXH98PC96, 4DNEXVJSLZI5	4DNFIR3XCIMA	0.12	b35b69503aa02e39d1612a935c52c5fd	boundaries	bed	2, 1	1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Monahan K et al. (2019)	in situ Hi-C	merged replicates	DpnII	olfactory receptor cell	Hi-C on Mouse Olfactory System cells	Mature olfactory sensory neurons with conditional Ldb1 knockout	processed file	4DN	4DN DCIC, HMS	Stavros Lomvardas, COLUMBIA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5c07cdee-53e2-43e0-8853-cfe5f057b3f1/4DNFIR3XCIMA.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIXKKNMS7/@@download/4DNFIXKKNMS7.bw	4DNES18BMU79	4DNEXH98PC96, 4DNEXVJSLZI5	4DNFIXKKNMS7	7.18	84a230e896aeacc022c0dc8421cc5df0	insulation score-diamond	bw	2, 1	1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Monahan K et al. (2019)	in situ Hi-C	merged replicates	DpnII	olfactory receptor cell	Hi-C on Mouse Olfactory System cells	Mature olfactory sensory neurons with conditional Ldb1 knockout	processed file	4DN	4DN DCIC, HMS	Stavros Lomvardas, COLUMBIA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d1f4beb9-701f-4188-abe2-6271fe658770/4DNFIXKKNMS7.bw
https://data.4dnucleome.org/files-processed/4DNFIN13N8C1/@@download/4DNFIN13N8C1.bw	4DNES18BMU79	4DNEXH98PC96, 4DNEXVJSLZI5	4DNFIN13N8C1	0.18	c7a8f5e6ce2bed2989a232a0f88a70f4	compartments	bw	2, 1	1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Monahan K et al. (2019)	in situ Hi-C	merged replicates	DpnII	olfactory receptor cell	Hi-C on Mouse Olfactory System cells	Mature olfactory sensory neurons with conditional Ldb1 knockout	processed file	4DN	4DN DCIC, HMS	Stavros Lomvardas, COLUMBIA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3d429647-51c8-4e3a-a18b-eec0b1480905/4DNFIN13N8C1.bw
https://data.4dnucleome.org/files-processed/4DNFIZ59RT2J/@@download/4DNFIZ59RT2J.pairs.gz	4DNES1J8MC4Q	4DNEXXZOPUC2, 4DNEX2FFAUYV, 4DNEX2JFIA1O, 4DNEXE5F6RB4	4DNFIZ59RT2J	3287.92	bcde830591a6598ec2e8f93b0413a0ac	contact list-combined	pairs	1, 4, 2, 3	1, 1, 1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Du Z et al. (2017)	in situ Hi-C	merged replicates	MboI	PN5 stage zygote	sisHi-C during early embryonic development	Zygotes in pronuclear stage 5	processed file	External	Wei Xie, TSINGHUA	Wei Xie, TSINGHUA	N/A	WARNING: some distinct reads in this file may share the same identifier because the file was generated after merging fastq files with integer identifiers (eg. @1, @2) during processing.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a5b723f3-5999-4edd-a2a7-1242ea45fae4/4DNFIZ59RT2J.pairs.gz
https://data.4dnucleome.org/files-processed/4DNFIZ59RT2J/@@download/4DNFIZ59RT2J.pairs.gz.px2	4DNES1J8MC4Q	4DNEXXZOPUC2, 4DNEX2FFAUYV, 4DNEX2JFIA1O, 4DNEXE5F6RB4	4DNFIZ59RT2J	8.62	73bc6ef443dabd98ccb96f046d786551	contact list-combined	pairs_px2	1, 4, 2, 3	1, 1, 1, 1	primary cell	mouse	secondary file for	4DNFIZ59RT2J	N/A	released	released	Du Z et al. (2017)	in situ Hi-C	merged replicates	MboI	PN5 stage zygote	sisHi-C during early embryonic development	Zygotes in pronuclear stage 5	processed file	External	Wei Xie, TSINGHUA	Wei Xie, TSINGHUA	N/A	WARNING: some distinct reads in this file may share the same identifier because the file was generated after merging fastq files with integer identifiers (eg. @1, @2) during processing.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a5b723f3-5999-4edd-a2a7-1242ea45fae4/4DNFIZ59RT2J.pairs.gz
https://data.4dnucleome.org/files-processed/4DNFI1EYIGOC/@@download/4DNFI1EYIGOC.hic	4DNES1J8MC4Q	4DNEXXZOPUC2, 4DNEX2FFAUYV, 4DNEX2JFIA1O, 4DNEXE5F6RB4	4DNFI1EYIGOC	1974.16	418e3660daebf64602ef1f545a606d83	contact matrix	hic	1, 4, 2, 3	1, 1, 1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Du Z et al. (2017)	in situ Hi-C	merged replicates	MboI	PN5 stage zygote	sisHi-C during early embryonic development	Zygotes in pronuclear stage 5	processed file	External	Wei Xie, TSINGHUA	Wei Xie, TSINGHUA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1181c0c4-afb7-4b6a-9fdc-d868fb2253fc/4DNFI1EYIGOC.hic
https://data.4dnucleome.org/files-processed/4DNFIDFYUWC3/@@download/4DNFIDFYUWC3.mcool	4DNES1J8MC4Q	4DNEXXZOPUC2, 4DNEX2FFAUYV, 4DNEX2JFIA1O, 4DNEXE5F6RB4	4DNFIDFYUWC3	1283.00	917681c15e0a9ea11df0609881f75239	contact matrix	mcool	1, 4, 2, 3	1, 1, 1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Du Z et al. (2017)	in situ Hi-C	merged replicates	MboI	PN5 stage zygote	sisHi-C during early embryonic development	Zygotes in pronuclear stage 5	processed file	External	Wei Xie, TSINGHUA	Wei Xie, TSINGHUA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/320a0ff5-c23d-4b30-ba82-bb2cf8fdf9c2/4DNFIDFYUWC3.mcool
https://data.4dnucleome.org/files-processed/4DNFI4969EKL/@@download/4DNFI4969EKL.bed.gz	4DNES1J8MC4Q	4DNEXXZOPUC2, 4DNEX2FFAUYV, 4DNEX2JFIA1O, 4DNEXE5F6RB4	4DNFI4969EKL	0.12	e79f2c8f44a8e9af1429f7e6a37fd7ed	boundaries	bed	1, 4, 2, 3	1, 1, 1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Du Z et al. (2017)	in situ Hi-C	merged replicates	MboI	PN5 stage zygote	sisHi-C during early embryonic development	Zygotes in pronuclear stage 5	processed file	External	4DN DCIC, HMS	Wei Xie, TSINGHUA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/4ea3af26-fe88-4cd6-9f31-66b70f082378/4DNFI4969EKL.bed.gz
https://data.4dnucleome.org/files-processed/4DNFIKASM18W/@@download/4DNFIKASM18W.bw	4DNES1J8MC4Q	4DNEXXZOPUC2, 4DNEX2FFAUYV, 4DNEX2JFIA1O, 4DNEXE5F6RB4	4DNFIKASM18W	7.09	766efce80cde39a530ce057c4374765e	insulation score-diamond	bw	1, 4, 2, 3	1, 1, 1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Du Z et al. (2017)	in situ Hi-C	merged replicates	MboI	PN5 stage zygote	sisHi-C during early embryonic development	Zygotes in pronuclear stage 5	processed file	External	4DN DCIC, HMS	Wei Xie, TSINGHUA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5ea3bfe1-2943-4577-912c-9bede323341b/4DNFIKASM18W.bw
https://data.4dnucleome.org/files-processed/4DNFIGCPSS6T/@@download/4DNFIGCPSS6T.bw	4DNES1J8MC4Q	4DNEXXZOPUC2, 4DNEX2FFAUYV, 4DNEX2JFIA1O, 4DNEXE5F6RB4	4DNFIGCPSS6T	0.18	f7f9416b284d0c23ae0a4c14af98ade9	compartments	bw	1, 4, 2, 3	1, 1, 1, 1	primary cell	mouse	N/A	N/A	N/A	released	released	Du Z et al. (2017)	in situ Hi-C	merged replicates	MboI	PN5 stage zygote	sisHi-C during early embryonic development	Zygotes in pronuclear stage 5	processed file	External	4DN DCIC, HMS	Wei Xie, TSINGHUA	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/072da858-cb3e-45b2-b335-75ebc207ff33/4DNFIGCPSS6T.bw
https://data.4dnucleome.org/files-processed/4DNFIS7OB68O/@@download/4DNFIS7OB68O.pairs.gz	4DNES1NX2TKW	4DNEX765IM69, 4DNEX554UNDC	4DNFIS7OB68O	4673.75	b78c8a5aae7cc8a85b4e3a4daed7a2d9	contact list-combined	pairs	1, 2	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Bonev B et al. (2017)	in situ Hi-C	merged replicates	DpnII	ES-E14TG2a	Hi-C on E14Tg2 cell line	strong zfp608 activation with dCas9-VP64-p65-Hsf1 	processed file	External	4DN DCIC, HMS	Giacomo Cavalli, UM	N/A	WARNING: some distinct reads in this file may share the same identifier because the file was generated after merging fastq files with integer identifiers (eg. @1, @2) during processing.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c1cd37b9-0340-413c-83ab-900240203143/4DNFIS7OB68O.pairs.gz
https://data.4dnucleome.org/files-processed/4DNFIS7OB68O/@@download/4DNFIS7OB68O.pairs.gz.px2	4DNES1NX2TKW	4DNEX765IM69, 4DNEX554UNDC	4DNFIS7OB68O	8.64	001bf02b9b018e2790eb2836feb065a9	contact list-combined	pairs_px2	1, 2	1, 1	stem cell derived cell line	mouse	secondary file for	4DNFIS7OB68O	N/A	released	released	Bonev B et al. (2017)	in situ Hi-C	merged replicates	DpnII	ES-E14TG2a	Hi-C on E14Tg2 cell line	strong zfp608 activation with dCas9-VP64-p65-Hsf1 	processed file	External	4DN DCIC, HMS	Giacomo Cavalli, UM	N/A	WARNING: some distinct reads in this file may share the same identifier because the file was generated after merging fastq files with integer identifiers (eg. @1, @2) during processing.	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c1cd37b9-0340-413c-83ab-900240203143/4DNFIS7OB68O.pairs.gz
https://data.4dnucleome.org/files-processed/4DNFI5KTF553/@@download/4DNFI5KTF553.hic	4DNES1NX2TKW	4DNEX765IM69, 4DNEX554UNDC	4DNFI5KTF553	2228.34	19ca333cde8d3dba1dacbb356baa39b3	contact matrix	hic	1, 2	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Bonev B et al. (2017)	in situ Hi-C	merged replicates	DpnII	ES-E14TG2a	Hi-C on E14Tg2 cell line	strong zfp608 activation with dCas9-VP64-p65-Hsf1 	processed file	External	4DN DCIC, HMS	Giacomo Cavalli, UM	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/298a429e-ea29-49d3-bfed-fa851e1e7c4c/4DNFI5KTF553.hic
https://data.4dnucleome.org/files-processed/4DNFI34LVCA4/@@download/4DNFI34LVCA4.mcool	4DNES1NX2TKW	4DNEX765IM69, 4DNEX554UNDC	4DNFI34LVCA4	1492.72	ffb9eecd0c410e3be55c2bed9df1c598	contact matrix	mcool	1, 2	1, 1	stem cell derived cell line	mouse	N/A	N/A	N/A	released	released	Bonev B et al. (2017)	in situ Hi-C	merged replicates	DpnII	ES-E14TG2a	Hi-C on E14Tg2 cell line	strong zfp608 activation with dCas9-VP64-p65-Hsf1 	processed file	External	4DN DCIC, HMS	Giacomo Cavalli, UM	N/A	N/A	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ecd7d999-ddf4-4880-9030-1af8c9947c0f/4DNFI34LVCA4.mcool
