"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
".mcool file of 4DN dataset 4DNFIJTOIGOI","in situ Hi-C, Preferred protocol - in situ Hi-C on IMR90 with MboI and bio-dATP [4DNFIJTOIGOI - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIJTOIGOI/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIJTOIGOI.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI5RMAGF9","in situ Hi-C, in situ Hi-C on GM12878 with MboI and bio-dATP (3 day protocol) [4DNFI5RMAGF9 - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI5RMAGF9/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI5RMAGF9.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI6FPEEIH","Capture Hi-C, N/A [4DNFI6FPEEIH - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI6FPEEIH/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI6FPEEIH.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI6NCUHDC","Capture Hi-C, N/A [4DNFI6NCUHDC - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI6NCUHDC/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI6NCUHDC.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIXP4QG5B","in situ Hi-C, Preferred protocol - in situ Hi-C on GM12878 with MboI and bio-dATP [4DNFIXP4QG5B - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIXP4QG5B/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIXP4QG5B.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIFLDVASC","in situ Hi-C, no auxin treatment [4DNFIFLDVASC - Rao SSP et al. (2017)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIFLDVASC/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIFLDVASC.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI9PIEPQA","in situ Hi-C, in situ Hi-C on GM12878 with MboI and bio-dATP (Tethered HiC, lower ligation volume) [4DNFI9PIEPQA - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI9PIEPQA/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI9PIEPQA.mcool","HiCData"
".mcool file of 4DN dataset 4DNFI2ZUCIHD","in situ Hi-C, in situ Hi-C on GM12878 with MboI and bio-dATP (in agar plugs, w/out crosslinking) [4DNFI2ZUCIHD - Rao SS et al. (2014)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFI2ZUCIHD/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFI2ZUCIHD.mcool","HiCData"
".mcool file of 4DN dataset 4DNFINM4TRRS","Capture Hi-C, N/A [4DNFINM4TRRS - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFINM4TRRS/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFINM4TRRS.mcool","HiCData"
".mcool file of 4DN dataset 4DNFIN8OYCB3","in situ Hi-C, in situ Hi-C on GM12878 crosslinking titration - 1% FA, 5 min, RT [4DNFIN8OYCB3 - Sanborn AL et al. (2015)]",3.17,NA,"TXT","https://data.4dnucleome.org/experiment-set-replicates/4DNFIN8OYCB3/","Dec 1 2022",NA,NA,"FALSE","Jacques Serizay","Jacques Serizay <jacquesserizay@gmail.com>","character","FilePath","fourDNData/4DNFIN8OYCB3.mcool","HiCData"
